Step,BTC_return,SP500_return,BTC_action,SP500_action,Reward,Cumulative_Reward
1,-0.029819293,0.0,Buy,Buy,0.0,0.0
2,0.051451664,-0.0070598708,Sell,Hold,0.029819292162590716,0.029819292162590716
3,0.008954867,0.0,Buy,Hold,0.05145166344511276,0.08127095560770348
4,8.914791e-05,0.0,Buy,Buy,0.008954866877941559,0.09022582248564504
5,0.04829126,0.003533373,Buy,Buy,8.914790612779555e-05,0.09031497039177283
6,0.050773848,-0.0028032386,Buy,Hold,0.04829126010697582,0.13860623049874865
7,-0.010268588,0.0049024513,Buy,Hold,0.050773846435889336,0.189380076934638
8,-0.024850857,0.006655263,Sell,Hold,0.010268587535248286,0.19964866446988627
9,0.0364869,-0.0028551787,Sell,Hold,0.024850855645838776,0.22449952011572505
10,-0.015798168,0.0,Buy,Hold,0.03648690303834745,0.2609864231540725
11,0.019279106,0.0,Sell,Hold,0.015798168776598898,0.2767845919306714
12,-0.0058956165,0.006976215,Buy,Hold,0.019279106453440997,0.2960636983841124
13,0.08393345,-0.0015145327,Sell,Hold,0.005895616628883604,0.301959315012996
14,-0.0023509809,0.0018701969,Buy,Hold,0.08393344808628167,0.38589276309927767
15,-0.0094498135,0.008366553,Sell,Hold,0.002350980919464507,0.3882437440187422
16,0.023527853,0.0038621624,Sell,Hold,0.009449813541879348,0.3976935575606215
17,0.0015422163,0.0,Buy,Hold,0.02352785247141642,0.42122141003203795
18,-0.026452929,0.0,Buy,Buy,0.0015422162701026476,0.4227636263021406
19,-0.0055824914,0.0,Sell,Hold,0.026452928527155417,0.449216554829296
20,0.010193531,-0.0026519776,Sell,Hold,0.005582491465413786,0.4547990462947098
21,-0.00743418,0.00028907607,Buy,Buy,0.007541553943784085,0.4623406002384939
22,-0.031605147,0.0011409766,Sell,Hold,0.007434180055016837,0.4697747802935107
23,0.0046296166,-0.009042161,Sell,Hold,0.03160514587505292,0.5013799261685636
24,-0.009186847,0.0,Buy,Buy,-0.0044125442520591696,0.49696738191650447
25,0.027364554,0.0,Sell,Hold,0.00918684685986848,0.506154228776373
26,0.03640752,-0.015730713,Buy,Hold,0.027364554337216074,0.533518783113589
27,0.05036808,0.010053584,Buy,Hold,0.036407519395889265,0.5699263025094783
