Step,Reward,BTC_action,SP500_action
0,0.013220281882013471,0,0
1,0.005241880161127482,0,1
2,0.010693237644424015,0,1
3,-0.0007313405645812902,0,0
4,0.008896966658390165,1,2
5,0.00896309905660232,2,2
6,0.008085423973180347,0,1
7,0.019451982071205312,1,0
8,0.01147335635275602,2,1
9,0.01630728283239445,2,0
10,0.014357313324925593,2,1
11,0.008799613425933042,0,1
12,0.00555934939243762,1,0
13,0.012059246341425432,1,1
14,0.01908402169664704,0,0
15,0.006962722159162663,0,1
16,0.013582318292824863,2,2
17,0.00510164576678359,2,2
18,0.01626627228828481,0,0
19,0.005581199419078195,1,2
20,0.005947258622641461,1,0
21,0.006194358276627503,0,0
22,0.018887576770630854,2,1
23,0.01448457215082493,0,1
24,0.005960138104589692,2,1
25,0.0149156852040349,1,2
26,0.01184335833039637,0,2
27,0.0055627695852978965,0,1
28,0.0037670599739932434,2,0
29,0.00780680742615858,0,2
30,0.013434598825640125,0,1
31,0.00978651238572598,0,2
32,0.015946807101070472,0,2
33,0.0034950792641330938,0,0
34,0.015575903669562168,1,1
35,0.009458933301594297,0,1
36,0.017975905089412582,0,0
37,0.00965688921292037,2,0
38,0.014972762753928132,2,2
39,0.007034943295313529,0,1
40,0.011822442014216982,1,1
41,0.011094651845863921,1,1
42,0.02006294244122358,2,1
43,0.0215572879691385,0,1
44,0.00445455455820336,0,0
45,0.00958739404223736,0,2
46,0.020131843732131532,2,0
47,0.009066065727824191,1,1
48,0.019756318436029666,1,0
49,0.00982713235303099,1,2
50,0.017627433447666988,0,1
51,0.010778632193402363,1,2
52,0.00509526244540059,1,0
53,0.013575343273168193,2,1
54,0.009535261513366276,0,0
55,0.00904734424395476,1,1
56,0.0031630776006632676,0,0
57,0.005717627703454431,1,1
58,0.02103669826362884,1,2
59,0.009470762118080817,1,0
60,0.005414387934436088,2,1
61,0.007809547144110753,0,1
62,0.02566345896761328,2,2
63,0.005754793623346768,2,1
64,0.011457851928151061,1,1
65,0.019275220873160567,1,0
66,0.003539438009559728,1,0
67,0.01247136768800161,0,1
68,0.008746613639024911,0,0
69,0.010779681082407429,1,0
70,0.01042106066194644,0,2
71,0.014744114050944453,0,2
72,0.00956324792918385,1,1
73,0.01319214471235871,1,1
74,0.011122090457246466,1,0
75,0.010080267629215253,2,2
76,0.0077233390651267895,0,2
77,0.017642162066911583,1,1
78,0.007312616135667209,0,2
79,0.006794016367909774,0,1
80,0.010227032945968285,2,0
81,0.0058509940864052805,2,1
82,0.008485594293107522,1,2
83,0.012311010807644206,2,1
84,0.005299247015228536,0,2
85,0.006856696249602298,2,2
86,0.009480349059381757,2,2
87,0.009274213628130853,0,0
88,-0.0014627296188810517,0,0
89,0.001612938624875519,2,0
90,0.012886298996004611,0,1
91,0.013601653334127474,1,0
92,0.008986339070409459,2,1
93,0.009244471837438045,2,0
94,0.0050774803446569,0,1
95,0.01603472706650478,2,1
96,0.006266843517087256,0,1
97,0.014607817452095138,2,1
98,0.018496820434044034,0,1
99,0.0163151440552018,0,2
100,0.009817476839150286,0,2
101,0.012462668511612944,1,2
102,0.006461800174281379,0,0
103,0.009175616828859147,1,0
104,0.012222664620801175,2,0
105,0.007442299007667059,1,0
106,0.0112254192133111,1,1
107,0.005089506246390915,1,0
108,0.014943998327212455,0,0
109,0.0017511697518724275,1,2
110,0.007744826593134477,1,1
111,0.012142929850550066,1,2
112,0.01156387013084994,0,0
113,0.0048642808215011825,2,1
114,0.005263772958361029,2,1
115,0.013023072579588443,0,2
116,0.011021667336968138,2,0
117,0.014926364931646344,0,2
118,0.012361896542848708,2,1
119,0.011476718394735175,1,1
120,0.01392746489806711,2,1
121,0.01511421709726311,1,2
122,0.011980157354380598,1,1
123,0.012263398419295378,0,1
124,0.004845037480338294,1,0
125,-0.000837432955265888,0,2
126,0.007716244116380781,0,1
127,0.01284945729960283,0,2
128,0.006168724621981685,0,1
129,0.005385156195601716,2,0
130,0.011388475669758725,0,2
131,0.011393995904413274,0,2
132,0.015005745362308774,1,2
133,0.006259760105008265,2,2
134,0.008859725762917305,0,0
135,0.009169430436570753,0,1
136,0.014265267584493528,1,0
137,0.011368350078106505,1,1
138,0.006063683178952712,1,1
139,0.007484056470760794,1,1
140,0.010483391832571201,1,1
141,0.008701549772279995,0,0
142,0.005474281648509254,2,2
143,0.01132176435693247,0,0
144,-9.684166027677625e-05,0,1
145,0.0015735163549014074,0,0
146,0.015422349261982504,2,0
147,0.004606225907968899,1,0
148,0.003928749916065576,0,2
149,-0.0008485449229596112,1,2
150,0.008406949558641776,1,0
151,0.012846369752262563,0,1
152,0.016364389198738737,0,1
153,0.009523607448918028,1,2
154,0.014628704760713549,0,2
155,0.010569616582338149,1,1
156,0.005663642394556605,1,1
157,0.013385356017005665,2,2
158,0.009344952313697814,1,2
159,0.010693157182533119,0,0
160,0.007796354872949796,0,1
161,0.01808301784386194,1,0
162,0.007256099789084045,2,1
163,0.008497635507862675,2,2
164,0.009229337567858827,1,1
165,0.010277363971003498,1,0
166,0.008774237025418352,0,1
167,0.006210782949237882,2,2
168,0.013027443770151382,0,1
169,0.009947501325871324,0,1
170,0.007002161656836393,1,2
171,0.0019079223893575178,1,1
172,0.00870023171921671,1,0
173,0.00577624485648264,0,2
174,0.014067412068792886,2,1
175,0.004721663384366097,1,1
176,0.007558245563821507,0,0
177,0.009751756525018035,1,0
178,0.018100415512563965,2,2
179,0.009805619584517682,0,0
180,-0.0032637532702489164,2,2
181,0.013091040182072635,2,0
182,0.007474890785767177,0,1
183,0.011791803061630206,2,1
184,0.011598623291112123,0,2
185,0.012619655026063681,1,2
186,0.012124036225430282,1,2
187,0.008089349119321326,0,2
188,0.015393843300116856,1,0
189,0.011253292527557607,2,0
190,0.01588253227971612,0,1
191,0.007532850399429366,2,0
192,0.0066814904842800605,0,1
193,0.005069139385979466,1,0
194,0.004870135978113085,0,0
195,0.0007791747735088755,2,1
196,0.014345732623357133,2,1
197,0.0048119117190275965,0,2
198,0.01324859473748739,0,1
199,0.009272533821134386,0,2
200,0.007551617594891801,1,0
201,0.0220699876690717,1,0
202,0.0037095463904137692,2,0
203,0.00851640553036195,2,2
204,0.003000518930810857,0,0
205,0.01181063810382428,0,1
206,0.003204154982505275,0,0
207,0.011501464671530967,0,2
208,0.0010596368779067448,0,1
